assestment;text;author;source
Manipulacja;Pani Hanna Gronkiewicz-Waltz zleciła kilka lat temu badania nad długowiecznością warszawiaków w poszczególnych dzielnicach. Z tych badań wynika, że na Pradze Północ mężczyzna ma szansę pożyć 16 lat krócej niż w dzielnicy Wilanów.;Piotr Ikonowicz;['wypowiedź']
Fałsz;Koszt utrzymania [stołecznych – przyp. red.] urzędników, ich samych pensji, to jest koszt 2,5 mld zł.;Paweł Tanajno;['wypowiedź']
Manipulacja;Jestem jedynym radnym z tego całego towarzystwa [kandydatów na prezydenta Warszawy – przyp.red.], jako jedyny się zajmowałem Warszawą od wielu, wielu lat.;Jan Śpiewak;['wypowiedź']
Fałsz;Co czwarty radny Rady [m.st. Warszawy – przyp. red.] jest milionerem.;Piotr Ikonowicz;['wypowiedź']
Prawda;Również nie będzie zwiększany podatek od nieruchomości, to co robi nieustannie przewodniczący Żuk.;Sylwester Tułajew;['wypowiedź']
Prawda;Zwolniliśmy z opłat dzieci ze szkół podstawowych i gimnazjów.;Krzysztof Żuk;['wypowiedź']
Prawda;Od kilku lat bardzo intensywnie debatowaliśmy (nt. Zalewu Zemborzyckiego) z naukowcami, co zrobić(...). W roku ubiegłym (...) większość naukowców wypowiedziała się za zdjęciem tzw. namułu (...), w którym są zarodniki sinic”.;Krzysztof Żuk;['wypowiedź']
Prawda;Wtedy (w 2015 r.) zdobyłam trochę więcej (...) to było 2200 (głosów).;Magdalena Długosz;['wypowiedź']
Prawda;Uchwała lokalizacyjna w trybie tzw. specustawy mieszkaniowej wymaga zgody Rady Miasta. Lokalizacja musi być zgodna ze studium, które przyjmuje Rada Miasta. Inwestor musi przedstawić pełną koncepcję urbanistyczno – architektoniczną, spełniając standardy urbanistyczne zawarte w ustawie. Zarówno Studium, jak i standardy określa Rada Miasta.;Sylwester Tułajew;['wypowiedź']
Prawda;Jeden z moich kontrkandydatów stwierdził dziś, że na Aqua Lublin rocznie chodzi „około 30 tys. mieszkańców”. Nie wie? Kłamie? Tylko w tym roku w Aqua było ponad 300 tys. osób. Wynik finansowy Aqua Lublin za 2017: 1 276 117 zł.;Krzysztof Żuk;['wypowiedź']
Prawda;Nie może być tak, że córka radnej miejskiej Marty Wcisło bez żadnego konkursu zostaje mianowana wiceprezesem jednej ze spółek-córek spółki miejskiej;Jakub Kulesza;['wypowiedź']
Prawda;Jeśli chodzi o czas spędzony w korkach, Lublin też nie wypada dobrze. Wprawdzie Warszawa to 41 min dziennie, Łódź 46, Kraków 34, ale Lublin to 37;Jakub Kulesza;['wypowiedź']
Prawda;Na same odsetki (od długu miasta) wydajemy rocznie 35 mln zł.;Jakub Kulesza;['wypowiedź']
Fałsz;My korzystamy z funduszy europejskich na realizację tzw. zintegrowanego transportu zbiorowego. Nie na budowę dróg.;Krzysztof Żuk;['wypowiedź']
Fałsz;Mamy ich blisko 60% [przedsiębiorców łódzkich]. To są jednoosobowe działalności gospodarcze.;Rafał Górski;['wypowiedź']
Fałsz;Cały olbrzymi proces rewitalizacji, to przeszło 5 mld złotych, które zrealizujemy w najbliższej perspektywie 3 lat.;Hanna Zdanowska;Fakty po Faktach, 09.10.2018
Prawda;Nie udało się wprowadzić mojej uchwały o pierwszym planie rozwoju osiedla „Wschód Śródmieścia”, gdy jednocześnie wydaje się bez mrugnięcia okiem prawie 85 mln na podziemną drogę.;Urszula Niziołek-Janiak;['wypowiedź']
Fałsz;;Krzysztof Lipczyk;['wypowiedź']
Manipulacja;Jest część wynagrodzenia [nauczycieli], część dodatków, które są finansowane ze środków samorządu.;Waldemar Buda;['wypowiedź']
Prawda;Po 1989 roku w zasadzie nie udało nam się w wyborach samorządowych takiej frekwencji (60% – przyp. Demagog) uzyskać;Artur Zborowski;['wypowiedź']
Manipulacja;Chcę tylko podkreślić, że już raz głosowanie nad in vitro we Wrocławiu było. Obecni radni albo byli przeciwko, albo uciekali od głosu;Małgorzata Tracz;['wypowiedź']
Fałsz;W 4,5 miliardowym budżecie Wrocławia ponad 1 mld 300 mln to są wydatki na wrocławską edukację.;Jacek Sutryk;['wypowiedź']
Fałsz;Dzisiaj we Wrocławiu jest ponad 4 tysiące organizacji pozarządowych.;Jacek Sutryk;['wypowiedź']
Fałsz;W 2007 roku został taki program (rewitalizacji 100 kamienic rocznie) zapowiedziany, udało się tylko 127 kamienic zrewitalizować;Jerzy Michalak;['wypowiedź']
Fałsz;We Wrocławiu jest 130 tys. studentów.;Katarzyna Obara-Kowalska;['wypowiedź']
Fałsz;Mamy najwięcej powierzchni galerii handlowej na mieszkańca w całej Polsce.;Marta Lempart;['wypowiedź']
Fałsz;Stoimy około 6 godzin w tygodniu w korkach;Zbigniew Jarząbek;['wypowiedź']
Prawda;Gdy jeszcze byłem radnym miasta domagałem się, by przed strefą płatnego parkowania powstały bezpłatne parkingi.;Sylwester Tułajew;['wypowiedź']
Prawda;Wiele moich pomysłów z poprzednich kampanii zostało spełnionych (...) na przykład ta izba wytrzeźwień, która teraz inaczej się nazywa.;Marian Kowalski;['wypowiedź']
Manipulacja;W tym roku (...) nie udało się za pierwszym razem podpisać umów na odbiór i zagospodarowanie odpadów.;Joanna Kunc;['wypowiedź']
Prawda;Kobiety stanowią 54% populacji Lublina, czyli mieszkańców Lublina.;Joanna Kunc;['wypowiedź']
Prawda;Kto rządzi Lublinem? (...) 6 jednoosobowych spółek miasta Lublin (jest zarządzanych przez) 6 prezesów, w tym 0 kobiet, 5 wiceprezesów, w tym 0 kobiet.;Joanna Kunc;['wypowiedź']
Nieweryfikowalne;W wyborach w 2014 roku dostałem ponad 4300 głosów, gdy startowałem do RM Lublin. To był największy wynik w historii samorządu Lublina. Rok później, do Sejmu, dostałem 17,5 tys. głosów, co było trzecim wynikiem na liście, mimo że startowałem dopiero z 10. pozycji.;Sylwester Tułajew;['wypowiedź']
Nieweryfikowalne;Dzisiaj już w tej chwili na naszym portalu można znaleźć około kilkuset wolnych miejsc pracy.;Krzysztof Żuk;['wypowiedź']
Manipulacja;Spółki miejskie przynoszą ogromne straty, np MPK, której straty wynoszą 27 mln zł a zobowiązania, które nie są zdefiniowane – aż 140 mln zł.;Jakub Kulesza;['wypowiedź']
Prawda;W zeszłym roku Lublin był na dziesiątym miejscu w zadłużeniu liczonym na mieszkańca spośród wszystkich gmin w Polsce. W tym roku jest już na 9 miejscu, bo gmina Ostrowice z województwa zachodniopomorskiego, która była na pierwszym miejscu zbankrutowała i jest likwidowana;Jakub Kulesza;['wypowiedź']
Prawda;Astronomiczne zadłużenie (miasta) wynosi 1,48 miliarda złotych.;Jakub Kulesza;['wypowiedź']
Prawda;Będzie na Szadółkach budowana spalarnia odpadów.;Dorota Maksymowicz-Czapkowska;['wypowiedź']
Fałsz;Jeżeli chodzi o mieszkania komunalne, to ilość ich cyklicznie spada. W 2009 roku to było około 26 tys. mieszkań komunalnych i socjalnych. W tej chwili jest to około 15 tys. W kolejce stoi ponad 4 tys. osób.;Elżbieta Jachlewska;['wypowiedź']
Fałsz;Prawie 40% szkół w Gdańsku to placówki niepubliczne.;Elżbieta Jachlewska;['wypowiedź']
Prawda;W Gdańsku brakuje około 80 kierowców w autobusach.;Kacper Płażyński;['wypowiedź']
Fałsz;Na początku tego roku nagle kilkudziesięciu kierowców odeszło z tej firmy [GAiT].;Kacper Płażyński;['wypowiedź']
Nieweryfikowalne;W trakcie 20 lat pozyskaliśmy ponad 130 tys. nowych podatników PIT.;Paweł Adamowicz;['wypowiedź']
Prawda;PiS chce też zabrać siedzibę Polskiej Agencji Kosmicznej. Przecież to rządy PO i PSL powołały tę jednostkę. Ustanowiliśmy, że ona ma być w Gdańsku.;Jarosław Wałęsa;['wypowiedź']
Prawda;Liczba hoteli wzrosła w ciągu ostatnich 15 lat czterokrotnie.;Paweł Adamowicz;['wypowiedź']
Prawda;W Poznaniu mamy jednego prezydenta i czterech zastępców, sami panowie. A jedną z obietnic Jacka Jaśkowiaka była kobieta wiceprezydentka.;Dorota Bonk-Hammermeister;['wypowiedź']
Fałsz;Miał on [buspas na Garbarach – przyp. Demagog] służyć poznaniakom poruszającym się komunikacją miejską. Na skutek interwencji radnych PO skrócono go do 1/6 pierwotnej długości,;Dorota Bonk-Hammermeister;['wypowiedź']
Fałsz;Wskaźniki dochodu na mieszkańca mamy bardzo wysokie. Jesteśmy po mazowieckim, na drugim miejscu w Polsce. ;Wojciech Bratkowski;['wypowiedź']
Fałsz;Chyba w zeszłym roku została uchwalona polityka mieszkaniowa przez Radę Miasta. Nie ma tam próby odpowiedzi ile mieszkań w jakim czasie miasto potrzebuje.;Jarosław Pucek;['wypowiedź']
Nieweryfikowalne;Z 1600 do 850 zmniejszyła się zaś liczba osób oczekujących na te mieszkania.;Jarosław Pucek;['wypowiedź']
Prawda;Przypomnę, że za moich rządów w ZKZL z 450 do 1250 zwiększyła się liczba lokali socjalnych. ;Jarosław Pucek;['wypowiedź']
Nieweryfikowalne;Mamy ponad 2200 wniosków o pomoc mieszkaniową rocznie.;Tomasz Lewandowski;['wypowiedź']
Nieweryfikowalne;To co jest odczuwalne dla mieszkańców, to liczba mieszkań [komunalnych – przyp. Demagog], które możemy im zaproponować. Przed 2015 przydzielano ich od kilkunastu do 40, a w 2016 r. 350, z kolei rok później 580.;Tomasz Lewandowski;['wypowiedź']
Fałsz;Wybudowaliśmy więcej mieszkań komunalnych niż za całej prezydentury Ryszarda Grobelnego;Tomasz Lewandowski;['wypowiedź']
Prawda;Ogromnym błędem było wyzbycie się przez miasto, za prezydentury pana Grobelnego, około 11 tys. lokali komunalnych. A za prezydentury pana Jaśkowiaka wybudowanie zamiast 4 tys. mieszkań tylko ok. 250 lokali.;Przemysław Hinc;['wypowiedź']
Prawda;80 proc. poznaniaków to wierzący katolicy.;Tadeusz Zysk;['wypowiedź']
Fałsz;Mieli budować tysiąc mieszkań komunalnych rocznie, jest niecałe czterysta. Łącznie.;Tadeusz Zysk;['wypowiedź']
Fałsz;Za 20 lat, połowa poznaniaków przekroczy wiek 60 lat;Tadeusz Zysk;['wypowiedź']
Fałsz;Liczba wypożyczeń roweru miejskiego: w 2015 – 100 tys., 2016 – 350 tys., 2017 – milion.;Jacek Jaśkowiak;Interia.pl, 12.10.2018
Manipulacja;Na remonty torowisk przeznaczyliśmy 84 mln złotych w ciągu mojej kadencji, dla przykładu wcześniej za Ryszarda Grobelnego to były 3 mln złotych.;Jacek Jaśkowiak;Debata „Wyborcza na Wybory, 02.10.2018
Nieweryfikowalne;Po zakupie 50 nowych tramwajów, które od października tego roku zaczną wjeżdżać na tory będziemy mieli najnowocześniejszy transport jeśli chodzi o tramwaje w Polsce. Będziemy mieli udział tramwajów niskopodłogowych na poziomie 80%, w stosunku na przykład do Łodzi 14% czy Krakowa 44%.;Jacek Jaśkowiak;Debata „Wyborcza na Wybory”, 02.10.2018
Manipulacja;Ujemne saldo migracji po raz pierwszy zeszło do poziomu poniżej 2 tysięcy.;Jacek Jaśkowiak;Debata „Wyborcza na Wybory”, 02.10.2018
Prawda;Wpływy z PITu nie maleją, one w ciągu 4 lat wzrosły z 750 mln złotych do ponad miliarda.;Jacek Jaśkowiak;Debata „Wyborcza na Wybory”, 02.10.2018
Nieweryfikowalne;Chce Pan wmówić mieszkańcom, że szkoły i przedszkola objęte są monitoringiem? Przecież to nieprawda, poniższe zestawienie mówi samo za siebie:;Małgorzata Wassermann;['wypowiedź']
Prawda;Kraków zdobył pierwsze miejsce w rankingu samorządów, które inwestowały najwięcej w latach 2015-2017. W kategorii miast wojewódzkich wyprzedził m.in. Poznań, Rzeszów i Toruń.;Jacek Majchrowski;['wypowiedź']
Fałsz; Prawie 100 tysięcy osób pracuje w Krakowie w branży outsourcingu.;Łukasz Gibała;['wypowiedź']
Nieweryfikowalne;W ciągu roku w Warszawie wyszlifowano 10x więcej torów niż w ciągu ostatnich 10 lat w Krakowie.  Czyli to jest stosunek 100 do 1. ;Łukasz Gibała;['wypowiedź']
Prawda;Cały budżet na sport w Krakowie to 170 mln zł rocznie. ;Łukasz Gibała;['wypowiedź']
Fałsz;Nie wiem jaki będzie teraz deficyt, ale w tamtym roku brakowało 100 mln zł.;Jolanta Gajęcka;['wypowiedź']
Prawda; Sama obsługa długu miasta w Krakowie to jest kwota wielkości rzędu  100 mln zł rocznie, same odsetki. ;Konrad Berkowicz;['wypowiedź']
Prawda;10% osób pracujących w mieście pracuje w branży turystycznej, a nie do wyliczenia jest to, jak dużo miejsc pracy poza tą branżą zależne jest od ruchu turystycznego.;Konrad Berkowicz;['wypowiedź']
Fałsz;My sobie (z reformą edukacji) poradziliśmy wydając przy tym dodatkowo 100 milionów złotych wcześniej niezaplanowanych środków finansowych.;Jacek Sutryk;['wypowiedź']
Prawda;W 2017 roku podłączono we Wrocławiu (do sieci ciepłowniczej) tylko 2 kamienice.;Mirosława Stachowiak-Różecka;['wypowiedź']
Prawda;Trzeba przypomnieć, że mieszkańcy Wrocławia tytułem zaległych opłat za mieszkania komunalne są winni Wrocławiowi około 0,5 mld złotych;Jerzy Michalak;['wypowiedź']
Manipulacja;Obecnie mamy bardzo małą średnią, jeśli chodzi o przesył, jest to dwadzieścia parę na godzinę auta się poruszają po Wrocławiu, jest to jedna z najmniejszych prędkości, jeśli chodzi o Polskę.;Mieczysław Maj;['wypowiedź']
Prawda;W małych miastach niemieckich, 200, 300 tysięcznych, jest metro.;Mieczysław Maj;['wypowiedź']
Prawda;Głównym problemem jest to, że jesteśmy skoncentrowani na piłce nożnej. To jedyna dziedzina sportu, w którą zainwestowano z pieniędzy publicznych ponad 100 mln zł;Katarzyna Obara-Kowalska;['wypowiedź']
Fałsz;Fundacja Batorego, zresztą w efekcie moich wypowiedzi, jakiś czas temu zrobiła taki raport, z którego wynika, że na 37 radnych, 20 jest albo zatrudnionych wprost albo pośrednio przez urzędy albo przez placówki podlegające prezydentowi Dutkiewiczowi;Katarzyna Obara-Kowalska;['wypowiedź']
Nieweryfikowalne;Miasto płaci 600 tys. złotych kar za niewykonanie wyroku za dostarczenie mieszkania socjalnego w wyniku wyroku sądu dla pań z dziećmi, które powinny mieszkać osobno niż kaci, którzy mieszkają z nimi.;Katarzyna Obara-Kowalska;['wypowiedź']
Prawda;We Wrocławiu na 1000 mieszkańców przypada aż 632 samochody.;Marta Lempart;['wypowiedź']
Fałsz;Rocznie we Wrocławiu w wyniku wypadków drogowych ginie 11 osób, a ponad 100 zostaje ciężko rannych.;Marta Lempart;['wypowiedź']
Fałsz;Obsługa długu (Wrocławia) to około 200 milionów;Zbigniew Jarząbek;['wypowiedź']
Fałsz;Wrocław ma 6 miliardów długu.;Zbigniew Jarząbek;['wypowiedź']
Prawda;W Warszawie [na sport – przyp. red.] wydaje się najmniej [w przeliczeniu na jednego – przyp. red.] mieszkańca spośród wszystkich miast wojewódzkich.;Patryk Jaki;['wypowiedź']
Prawda;[W rankingu miast wojewódzkich w Polsce pod względem średniego udziału wydatków na sport w wydatkach ogólnych miasta na lata 2015-2017 – przyp. red.] na ostatnim miejscu jest Warszawa, zaledwie ponad 1%.;Patryk Jaki;['wypowiedź']
Fałsz;Mamy w warszawie dwa kluby rugby: Skra i AZS AWF Warszawa.;Andrzej Rozenek;['wypowiedź']
Manipulacja;[Było to – przyp. red.] 460 mln wydanych przez miasto Warszawę na budowę stadionu [Legii – przyp. red.].;Marek Jakubiak;['wypowiedź']
Manipulacja;Przedstawiciele tej partii [PiS – przyp. red.] w radzie miasta głosowali przeciwko rozbudowie tego stadionu [Legii – przy. red.].;Rafał Trzaskowski;['wypowiedź']
Manipulacja;(...) wtedy [podczas budowy stadionu Legii, ITI – przy. red.] była to prywatna spółka, którą dofinansowano [ze środków miejskich – przy. red.] kwotą pół miliarda złotych.;Piotr Ikonowicz;['wypowiedź']
Prawda;400 najlepszych sportowców w Warszawie jest sponsorowanych przez miasto [poprzez stypendia – przyp. red.];Rafał Trzaskowski;['wypowiedź']
Prawda;Warszawa wydaje 235 mln w tym budżecie na rekreację, sport i promocję turystyki.;Andrzej Rozenek;['wypowiedź']
Fałsz;Warszawa ma 17 mld z kawałkiem budżetu, z czego 4,5 [mld – przyp. red.] pochodzi jako zadania zlecone ze Skarbu Państwa.;Sławomir Antonik;['wypowiedź']
Fałsz;Ze składowiska w Szadółkach odzyskiwane jest 20% gazu, zaś reszta trafia w eter lub dostaje się do gleby i w tej glebie się dalej przemieszcza, wywołując bliżej nieokreślone zagrożenia.;Jacek Hołubowski;['wypowiedź']
Prawda;W 2015 r. organizowałam w Gdańsku marsz przeciwko przyjmowaniu imigrantów i przyszło ok. 3 tys. osób. Na kontrmanifestację przyszło ok. 100 osób.;Dorota Maksymowicz-Czapkowska;['wypowiedź']
Manipulacja;Paweł Adamowicz najpierw wyśmiewał mój pomysł na nową oś komunikacyjną miasta [Gdańska – przyp. Demagog.] jako „nierealną”, a dzisiaj mówi, że w przyszłości być może zrealizuje dokładnie mój pomysł.;Kacper Płażyński;['wypowiedź']
Manipulacja;Paweł Adamowicz (...) sam należał do partii aż do czasu, kiedy Platforma zdecydowała się z nim rozstać z uwagi na jego problemy z prawem.;Kacper Płażyński;['wypowiedź']
Prawda;Pan prezydent mówił, że w Gdańsku wszystkie tramwaje są niskopodłogowe. Nic dziwnego, że pan prezydent nie wie, że to nieprawda.;Kacper Płażyński;['wypowiedź']
Prawda;W lipcu i sierpniu (...) Odwiedziliśmy wszystkie dzielnice [Gdańska – przyp. red].;Kacper Płażyński;['wypowiedź']
Prawda;Małe i średnie przedsiębiorstwa stanowią przecież 96% wszystkich podmiotów zarejestrowanych w Gdańsku.;Jarosław Wałęsa;['wypowiedź']
Fałsz;[Obecna zasada finansowania gdańskiego transportu publicznego jest taka – przyp. Demagog], że połowa kosztów jest finansowana z biletów, a połowę dopłaca miasto.;Jarosław Wałęsa;['wypowiedź']
Prawda;Przecież jeszcze w listopadzie 2017 r., w wywiadach i na spotkaniach, obiecywał (Paweł Adamowicz – przyp. Demagog) że poprze w Gdańsku kandydata zjednoczonej opozycji. W tej chwili ja jestem przedstawicielem PO i Nowoczesnej. Uzyskałem poparcie PSL, ruchów miejskich i wielu radnych dzielnicowych.;Jarosław Wałęsa;['wypowiedź']
Prawda;Dzisiaj [24 września 2018] oddałem do użytku setne boisko przyszkolne.;Paweł Adamowicz;['wypowiedź']
Prawda;Jest w Gdańsku osób powyżej 60 roku życia 120 tysięcy.;Paweł Adamowicz;['wypowiedź']
Prawda;Uniwersytet zatrudnia 3,5 tys. pracowników, uczy około 30 tys. studentów, a budżet ma powyżej 1 mln na każdy dzień w roku.;Andrzej Ceynowa;['wypowiedź']
Prawda;Z Warszawą trudno jest konkurować. 16 mld do 4 mld budżetu, to nie są te środki.;Hanna Zdanowska;Gazeta Wyborcza, 29.09.2018
Fałsz;Mamy miliardowe inwestycje biznesu. Ja chciałam przypomnieć, 8 lat temu to praktycznie tych inwestycji nie było.;Hanna Zdanowska;Gazeta Wyborcza, 29.09.2018
Manipulacja;Prezydent nie ma za bardzo nic do tego [do wycinki drzew w mieście].;Hanna Zdanowska;Gazeta Wyborcza, 20.09.2018
Fałsz;Wszelkie inwestycje w Łodzi, remonty... Wszelkie właściwie inwestycje są dokonywane siłami firm pozałódzkich, łącznie z oświetleniem ulicy Piotrkowskiej etc.;Agnieszka Wojciechowska van Heukelom;['wypowiedź']
Fałsz;Np. tzw. opłata adiacencka, to jest kolejny podatek, który miasto zabiera połowę wartości działki, jeśli ktoś sobie działkę podzieli na pół.;Zbigniew Maurer;['wypowiedź']
Manipulacja;Trzeba tu się zabrać przede wszystkim za taką spółkę jak np. łódzkie lotnisko, które rok w rok przynosi stratę 50 mln.;Krzysztof Lipczyk;['wypowiedź']
Fałsz;Ostatnie trzy lata przyniosły tego rodzaju wynik, że mamy gigantyczne zadłużenie, największe spośród dużych miast w Polsce.;Waldemar Buda;['wypowiedź']
Fałsz;Choćby w Zakładzie Wodociągów i Kanalizacji. Tam, pani redaktor, zarząd jest tak niewyobrażalnie rozrośnięty, że na pensje co miesiąc przeznaczane są kolosalne pieniądze. Prezes i wieloosobowy zarząd kosztują łodzian co miesiąc ponad sto tysięcy złotych! Sam prezes zarabia jakieś 25 tysięcy.;Waldemar Buda;['wypowiedź']
Manipulacja;Jeżeli walczyliśmy i zdobyliśmy 2 tys. podpisów lokalnych handlowców, kupców z Łodzi. Chcieliśmy otworzyć targowisko na Chojnach.;Waldemar Buda;['wypowiedź']
Fałsz;Uniwersytecki Szpital musi uzyskać kwotę prawie 400 mln, bo tak zobowiązał się, że włoży takie pieniądze w budowę nowej siedziby szpitala.;Małgorzata Wassermann;['wypowiedź']
Nieweryfikowalne;Jeśli chodzi o plany [zagospodarowania przestrzennego]: zastałem miasto, które tylko w 0,9 procentach było pokryte planami. ;Jacek Majchrowski;['wypowiedź']
Prawda;W tej chwili mamy przykryty Kraków koło 60 procent planami.;Jacek Majchrowski;['wypowiedź']
Prawda;Chciałem przypomnieć, że mamy uzdrowisko Swoszowice i uzdrowisko Mateczny. Więc jesteśmy miastem, należymy do związku miast uzdrowisk.;Jacek Majchrowski;['wypowiedź']
Prawda;W ciągu ostatnich kilkunastu lat centrum miasta, Stare Miasto i Kazimierz się wyludniają.  ;Daria Gosek-Popiołek;['wypowiedź']
Prawda;W Krakowie mamy rzeczywiście ponad 12 mln turystów rocznie. ;Łukasz Gibała;['wypowiedź']
Prawda;360 mln zł – na tyle teraz wyceniana jest ta działka 15 hektarowa przez dyrekcję szpitala [uniwersyteckiego].;Jolanta Gajęcka;['wypowiedź']
Prawda;Mamy około 250 wójtów, burmistrzów, prezydentów z listy Polskiego Stronnictwa Ludowego.;Władysław Kosiniak-Kamysz;RMF 24, 18.09.2018
Fałsz;Nasza Krajowa Rada Sądownictwa składa się z 25 członków i zdecydowana większość z nich jest mianowana przez władzę sądowniczą.;Mateusz Morawiecki;Quest Means Business CNN, 5.10.2018 r.
Prawda;Pan minister Arłukowicz, który dzisiaj tak z troską pochyla się nad pielęgniarkami, z tego co mi wiadomo, to nie przeznaczył na podwyżki dla pielęgniarek ani złotówki.;Łukasz Szumowski;['wypowiedź']
Prawda;Zwiększyliście wydatki na IPN (w projekcie budżetu na 2019r.) (...) o 101 mln w stosunku do 2015 r. Było 249 mln, jest 350.;Sławomir Nitras;Posiedzenie Sejmu, 4.10.2018
Fałsz;Jesteśmy już chyba jedynym krajem w okolicy, który ma deficyt budżetowy.;Grzegorz Długi;Posiedzenie Sejmu, 4.10.2018
Manipulacja;Wrocław zdecydowanie mniej wydaje na walkę ze smogiem niż np. Kraków, a problem mamy obecnie porównywalny.;Małgorzata Tracz;['wypowiedź']
Prawda;Wrocław jest miastem, które ma nieco ponad 12 proc. terenów zielonych, z czego prawie osiem proc. to są lasy dookoła Wrocławia, więc bardzo mocno brakuje nam zieleni. Katowice, czy Zielona Góra mają ponad 40 proc. zieleni w mieście;Małgorzata Tracz;['wypowiedź']
Prawda;We Wrocławiu mamy ok. 37 tys. mieszkań komunalnych.;Jacek Sutryk;['wypowiedź']
Nieweryfikowalne;Osób niepełnosprawnych jest dzisiaj we Wrocławiu ponad 43 tysiące, gdybyśmy się chcieli kierować kryterium orzeczeń wydawanych przez zespoły orzekania o niepełnosprawności;Jacek Sutryk;['wypowiedź']
Fałsz;Co roku oddajemy tysiąc miejsc przedszkolnych publicznych i tysiąc niepublicznych.;Jacek Sutryk;['wypowiedź']
Prawda;Największym problem są kopciuchy – piece, to one stanowią we Wrocławiu źródło smogu, mniej więcej szacowane przez ekspertów na 60%.;Mirosława Stachowiak-Różecka;['wypowiedź']
Manipulacja;4 mln złotych w każdym roku (przeznacza się – przyp. Demagog) na odpompowywanie wody z podziemnego parkingu w Narodowym Forum Muzyki.;Mirosława Stachowiak-Różecka;['wypowiedź']
Nieweryfikowalne;Ostatnia liczba: 65 tysięcy ludzi codziennie przywozimy i odwozimy z Wrocławia.;Jerzy Michalak;['wypowiedź']
Nieweryfikowalne;Zwiększyliśmy w ciągu tych 5 lat liczbę kursów w aglomeracji o 100.;Jerzy Michalak;['wypowiedź']
Nieweryfikowalne;W ciągu 5 ostatnich lat zwiększyliśmy na Dolnym Śląsku liczbę podróżujących pociągami, głównie w aglomeracji wrocławskiej, o 75%;Jerzy Michalak;['wypowiedź']
Prawda;Przez 8 lat pracy w radzie miejskiej byłam na około 85 proc. sesji.;Katarzyna Obara-Kowalska;['wypowiedź']
Fałsz;Los Angeles albo San Francisco ma 22 radnych.;Jarosław Bogusławski;['wypowiedź']
Prawda;Nowy Jork ma 51 radnych.;Jarosław Bogusławski;['wypowiedź']
Prawda;Większe wyzwanie to oczywiście taryfa SKM, która jest własnością – przypomnimy – PKP.;Paweł Adamowicz;['wypowiedź']
Fałsz;Ponad 80 proc. tej kwoty [budżetu miasta] pochłaniają koszty stałe, czyli różnego rodzaju wydatki.;Andrzej Ceynowa;['wypowiedź']
Manipulacja;Moim zdaniem, jednym z takich programów, który jest niezbyt trafiony, to tzw. reforma śmieciowa i co za tym idzie wymiana wszystkich kubłów na śmieci. Jeszcze niedawno wystarczyły trzy, a teraz potrzeba ich aż pięciu. I oczywiście wszystkie muszą być pod jeden wzór.;Andrzej Ceynowa;['wypowiedź']
Prawda;To oni [radni miejscy] uchwalają plany zagospodarowania przestrzennego.;Kacper Płażyński;['wypowiedź']
Fałsz;Ostatnio dowiedzieliśmy się, że prezydent Adamowicz u wspomnianego dewelopera Robyga posiada akcje za 150 tysięcy złotych.;Kacper Płażyński;['wypowiedź']
Manipulacja;Wolne Miasto Gdańsk w czasach międzywojennych to był ustrój faszystowski. To był ustrój, w którym rządzili hitlerowcy, to był ustrój, w który w 36’ roku stworzył pierwszą listę gdańszczan żydowskiego pochodzenia. To był ustrój, do którego dzisiaj odwołuje się prezydent Adamowicz.;Kacper Płażyński;['wypowiedź']
Prawda;Większa część naszych podatków, które płacimy w PIT, w CIT trafia do budżetu centralnego.;Jacek Hołubowski;['wypowiedź']
Prawda;Deweloper Forum otrzymał właśnie karę pieniężną w maksymalnej wysokości 500 tys. zł za prowadzenie prac budowlanych przy kanale Raduni bez ważnego pozwolenia konserwatorskiego.;Jarosław Wałęsa;['wypowiedź']
Fałsz;Statystyki GUSu pokazują, że w 2050 roku podwoi się nam liczba mieszkańców 60+ w porównaniu z dzisiejszą demografią.;Elżbieta Jachlewska;['wypowiedź']
Prawda;W Gdańsku zaledwie 1,3 tys. osób korzysta z domowych opiekunek, dofinansowanych przez miasto;Elżbieta Jachlewska;['wypowiedź']
Prawda;Jedyne mosty, które zbudowano w Warszawie w czasach już nie PRL-owskich, to były mosty za czasów prezydentów związanych z Platformą Obywatelską. Wszystkie!;Bronisław Komorowski;['wypowiedź']
Manipulacja;(...) propozycja dyżuru ginekologów 24/h jest w Warszawie realizowana od wielu lat w szpitalach ginekologiczno-położniczych. Również w Bielańskim.;Jacek Wojciechowicz;['wypowiedź']
Prawda;Miasto wspomaga (...) [schronisko Na Paluchu – przyp. red.] kwotą ok. 9 milionów złotych.;Patryk Jaki;['wypowiedź']
Nieweryfikowalne;Miejskie autobusy (...) [spalają rocznie w Warszawie – przyp. red.] ponad 40 mln litrów ropy.;Patryk Jaki;['wypowiedź']
Fałsz;Miejskie autobusy przejeżdżają 100 mln km rocznie po Warszawie (...).;Patryk Jaki;['wypowiedź']
Fałsz;(...) do tego mamy [w Warszawie – przyp. red.] deficyt około 30%.;Rafał Trzaskowski;['wypowiedź']
Prawda;Budżet [Warszawy – przyp. red.] wynosi ponad 17 mld zł.;Rafał Trzaskowski;['wypowiedź']
Fałsz;Warszawa  (...) to jest 16,5 mld budżetu.;Marek Jakubiak;['wypowiedź']
Prawda;Warszawa (...) to jest (...) najbardziej zadłużona gmina w Polsce.;Marek Jakubiak;['wypowiedź']
